ID Cortex	Empresa analisada	Produto analisado	Data	Título	ID análise de mídia	Veículo	Status classificação	Assunto específico	Assunto Específico Sugerido	ID Assunto Específico Sugerido
1020762	BTG Pactual	-	2020-01-08	Líderes: Como as novas gerações se comportam no trabalho? Diretores de LinkedIn e Mercado Livre explicam	51412	Yahoo Brasil	Classificado	BTG citado em CV	Líderes: Como as novas gerações se comportam no trabalho? Diretores de LinkedIn e Mercado Livre explicam	4617
1021003	BTG Pactual	-	2020-01-08	BTG recebe autorização do BC para abrir escritório em Lisboa	51430	Valor Econômico	Classificado	BTG anuncia escritório em Portugal	BTG recebe autorização do BC para abrir escritório em Lisboa	4622
1019601	BTG Pactual	-	2020-01-06	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	51334	Reuters Brasil	Classificado	BTG analisa desempenho da bolsa	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	4595
1018057	BTG Pactual	-	2020-01-02	Ibovespa acima dos 130 mil pontos: as projeções dos analistas para a bolsa em 2020 (e as ações preferidas)	51313	Infomoney	Classificado	BTG traça cenário para o Ibovespa no ano que vem	Ibovespa acima dos 130 mil pontos: as projeções dos analistas para a bolsa em 2020 (e as ações preferidas)	4577
1018513	BTG Pactual	-	2020-01-02	BTG Pactuai volta a recomendar ações da Petrobras e troca Itaú Unibanco por BB	51319	AGÊNCIA ESTADO	Classificado	Recomendações	BTG Pactuai volta a recomendar ações da Petrobras e troca Itaú Unibanco por BB	4580
1020593	BTG Pactual	-	2020-01-07	Bancos e Petrobras pressionam 3º queda seguida, mas Ibovespa segue no azul em 2020	51398	UOL	Classificado	Ações do BTG	Bancos e Petrobras pressionam 3º queda seguida, mas Ibovespa segue no azul em 2020	4611
1020038	BTG Pactual	-	2020-01-06	Conteúdo exclusivo. Para continuar escolha uma opção	51360	Valor Econômico	Classificado	Bancos emitem bônus internacionais	Conteúdo exclusivo. Para continuar escolha uma opção	4599
1017586	BTG Pactual	-	2020-01-01	Lava Jato manda periciar arquivos do BTG Pactual	51268	O Antagonista	Classificado	Lava Jato manda periciar arquivos do BTG Pactual	Lava Jato manda periciar arquivos do BTG Pactual	4564
1024262	BTG Pactual	-	2020-01-14	Paulo Guedes é suspeito de manter negócios ocultos	51586	Brasil 247	Classificado	Delação de Palocci não apresenta provas de que Dilma autorizou o BTG a ter acesso a informações sigilosas	Delação de Palocci não apresenta provas de que Dilma autorizou o BTG a ter acesso a informações sigilosas	4643
1023489	BTG Pactual	-	2020-01-13	Cinco construtoras devem entrar na Bolsa e movimentar R$ 5 bilhões	51556	BOL	Classificado	BTG analisa mercado imobiliário	BTG analisa mercado imobiliário	4632
1023482	BTG Pactual	-	2020-01-13	Cinco construtoras devem entrar na Bolsa e movimentar R$ 5 bilhões	51554	Revista Istoé	Classificado	BTG analisa mercado imobiliário	BTG analisa mercado imobiliário	4632
1017610	BTG Pactual	-	2020-01-01	JBS: acordo de acionistas entre J&F e BNDESPar perde validade	51269	Revista IstoÉDinheiro	Classificado	BTG coordena oferta da JBS	BTG coordena oferta da JBS	4565
1020890	BTG Pactual	-	2020-01-08	Caixa e Ânima contratam bancos para ofertas	51427	Valor Econômico	Classificado	BTG coordena oferta da Caixa	Caixa e Ânima contratam bancos para ofertas	4615
1021603	BTG Pactual	-	2020-01-09	Copel quer importar energia do Paraguai; mira vendas no mercado livre no Brasil	51452	Reuters Brasil	Classificado	BTG importa energia de Uruguai e Argentina desde 2019	Copel quer importar energia do Paraguai; mira vendas no mercado livre no Brasil	4631
1019986	BTG Pactual	-	2020-01-06	Ibovespa fecha abaixo de 117 mil pontos com tensão EUA-Irã	51358	MSN	Classificado	BTG analisa desempenho da bolsa	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	4595
1022512	BTG Pactual	-	2020-01-10	Ibovespa cai pelo 6º pregão e passa a acumular queda em 2020	51499	Reuters Brasil	Classificado	BTG analisa a empresa: Gol	Ibovespa cai pelo 6º pregão e passa a acumular queda em 2020	4657
1020874	BTG Pactual	-	2020-01-08	Caixa Seguridade confirma que Caixa Econômica Federal contratou sindicato de bancos para IPO	51420	UOL	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1022105	BTG Pactual	-	2020-01-10	Motivação pessoal é mais importante do que palavras inspiradoras, diz COO do Mercado Livre	51470	Yahoo Brasil	Classificado	BTG citado em CV	Motivação pessoal é mais importante do que palavras inspiradoras, diz COO do Mercado Livre	4645
1023470	BTG Pactual	-	2020-01-13	Itaú cria estrutura para operar em energia	51550	Valor Econômico	Classificado	BTG citado em CV	BTG citado em CV	4668
1022248	BTG Pactual	-	2020-01-10	ENTREVISTA-Caixa Econômica vai acelerar negócios ligados ao setor imobiliário em 2020	51478	Terra	Classificado	Caixa pretende se desfazer da fatia do Banco Pan ainda este ano	Caixa pretende se desfazer da fatia do Banco Pan ainda este ano	4650
1017665	BTG Pactual	-	2020-01-01	Oferta de ações na bolsa brasileira pode atingir até R$ 200 bi este ano	51278	BOL	Classificado	BTG traça cenário para o Ibovespa no ano que vem	BTG traça cenário para o Ibovespa no ano que vem	4563
1020161	BTG Pactual	-	2020-01-07	Caixa define sindicato de bancos para IPO de unidade de seguros, dizem fontes	51373	UOL	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1023598	BTG Pactual	-	2020-01-13	Banco Indusval tem aval do Cade para entrar em comercialização de energia elétrica	51565	Yahoo Brasil	Classificado	BTG citado em CV	BTG citado em CV	4675
1022629	BTG Pactual	-	2020-01-10	Mercado vê chance de novo corte do juro básico já em fevereiro	51508	Valor Econômico	Classificado	BTG analisa a economia brasileira	Mercado vê chance de novo corte do juro básico já em fevereiro	4654
